Filename,nwords,nsentences,nparagraphs,nlemmas,nlemma_types,ncontent_words,ncontent_types,nfunction_words,n_nouns,n_noun_types,n_verbs,n_verb_types,n_adjs,n_adj_types,n_advs,n_adv_types,n_prps,n_prp_types,n_arguments,n_argument_types,n_bigram_lemmas,n_bigram_lemma_types,n_trigram_lemmas,n_trigram_lemma_types
Form1-20073001-Item2.txt,63,5,4,63,42,27,25,36,12,12,9,8,5,5,1,1,13,5,23,16,62,60,61,61
5.txt,182,8,1,182,75,77,52,105,29,18,28,21,7,5,14,10,40,5,68,22,181,156,180,170
4.txt,151,8,1,151,90,83,62,68,31,26,28,20,11,8,13,10,14,6,40,30,150,145,149,149
Form1-20073002-Item2.txt,348,17,6,348,143,186,103,162,79,47,61,32,32,19,15,12,39,7,116,52,347,273,346,312
6.txt,149,7,1,149,83,69,53,80,32,27,19,13,11,9,8,6,24,6,52,32,148,139,147,146
3.txt,110,13,1,110,56,53,38,57,33,26,11,5,7,6,2,1,18,5,51,31,109,91,108,105
Form1-20073004-Item2.txt,261,5,3,261,97,120,66,141,41,26,46,23,18,10,17,9,46,6,86,31,260,184,259,221
2.txt,118,11,5,118,70,66,47,52,32,21,18,15,8,6,8,5,16,5,47,25,117,105,116,112
1.txt,126,12,1,126,57,54,32,72,13,10,18,11,4,3,20,9,28,7,38,16,125,106,124,119
Form1-20073003-Item2.txt,240,6,1,240,116,119,89,121,71,53,23,17,21,18,5,5,14,6,81,58,239,209,238,233
copula_locative.txt,14,3,3,14,10,6,4,8,3,3,3,1,0,0,0,0,3,3,6,6,13,12,12,12
Form1-20073005-Item2.txt,291,18,5,291,140,141,98,150,54,37,41,31,30,17,18,16,41,10,90,45,290,259,289,284
