Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_binary_all_para,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_binary_2_all_para,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_binary_cw_para,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_binary_2_cw_para,adjacent_overlap_fw_para,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_binary_2_fw_para,adjacent_overlap_noun_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_binary_noun_para,adjacent_overlap_2_noun_para,adjacent_overlap_2_noun_para_div_seg,adjacent_overlap_binary_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_para,adjacent_overlap_2_argument_para_div_seg,adjacent_overlap_binary_2_argument_para,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,lsa_1_all_sent,lsa_2_all_sent,lsa_1_all_para,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
Form1-20073001-Item2.txt,0.666666666667,0.7,0.428571428571,0.595238095238,0.925925925926,0.5,0.5,1.0,0.888888888889,1.0,1.0,0.384615384615,0.695652173913,0.967741935484,1.0,0.208333333333,2.5,1.0,0.209302325581,3.0,1.0,0.0416666666667,0.25,0.25,0.0454545454545,0.333333333333,0.333333333333,0.291666666667,1.75,0.75,0.333333333333,2.33333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.125,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444,1.0,0.5,0.5,1.33333333333,0.666666666667,0.157894736842,0.75,0.5,0.1875,1.0,0.666666666667,0.209302325581,3.0,1.0,0.277777777778,5.0,1.0,0.0454545454545,0.333333333333,0.333333333333,0.0526315789474,0.5,0.5,0.285714285714,2.0,0.666666666667,0.529411764706,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.333333333333,0.333333333333,0.166666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.33333333333,0.666666666667,0.833333333333,2.5,1.0,0.1875,1.0,0.666666666667,0.285714285714,2.0,1.0,0.0,0.5,0.0,0.666666666667,0.0891680072141,0.354444540492,0.0139242138764,0.263751154386,0.9024586118951314,0.8642982778445353,0.8719554270875497,0.7621758035648762,0.715775848156,0.727340846045,0.694533147835,0.624478302598,0.031746031746,0.031746031746,0.0,0.047619047619,0.0,0.015873015873,0.031746031746,0.0,0.015873015873,0.015873015873,0.031746031746,0.015873015873,0.0952380952381,0.047619047619,0.015873015873,0.031746031746,0.047619047619,0.0634920634921,0.031746031746,0.031746031746,0.0,0.0,0.031746031746,0.031746031746,0.0793650793651,0.111111111111,0.583333333333,0.0634920634921,0.174603174603
5.txt,0.412087912088,0.632481203008,0.423076923077,0.693333333333,0.675324675325,0.247619047619,0.361428571429,0.620689655172,0.75,0.714285714286,0.714285714286,0.125,0.323529411765,0.861878453039,0.944444444444,0.36,5.14285714286,1.0,0.379310344828,5.5,1.0,0.16,1.14285714286,0.428571428571,0.136363636364,1.0,0.5,0.54,3.85714285714,1.0,0.604651162791,4.33333333333,1.0,0.125,0.285714285714,0.285714285714,0.142857142857,0.333333333333,0.333333333333,0.111111111111,0.285714285714,0.142857142857,0.0,0.0,0.0,0.333333333333,0.285714285714,0.285714285714,0.25,0.166666666667,0.166666666667,0.1,0.142857142857,0.142857142857,0.2,0.333333333333,0.166666666667,0.722222222222,1.85714285714,1.0,0.875,2.33333333333,1.0,0.441176470588,2.14285714286,1.0,0.533333333333,2.66666666667,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714,0.571428571429,0,0,0.275002064146,0.593244534204,0,0,0.9649924118200683,0.981528926918962,0,0,0.843074164595,0.86865957679,0,0,0.0604395604396,0.032967032967,0.0164835164835,0.0164835164835,0.010989010989,0.043956043956,0.0384615384615,0.0,0.010989010989,0.0274725274725,0.021978021978,0.00549450549451,0.0714285714286,0.010989010989,0.00549450549451,0.00549450549451,0.0604395604396,0.0549450549451,0.021978021978,0.0,0.0274725274725,0.00549450549451,0.0989010989011,0.0164835164835,0.0769230769231,0.104395604396,0.655172413793,0.230769230769,0.32967032967
4.txt,0.596026490066,0.75862745098,0.549668874172,0.688888888889,0.746987951807,0.441176470588,0.538947368421,0.838709677419,0.714285714286,0.727272727273,0.769230769231,0.428571428571,0.75,0.966666666667,1.0,0.127272727273,2.0,0.857142857143,0.25,3.16666666667,0.833333333333,0.0461538461538,0.428571428571,0.428571428571,0.133333333333,1.0,0.666666666667,0.217391304348,1.42857142857,0.714285714286,0.375,2.0,0.666666666667,0.0384615384615,0.142857142857,0.142857142857,0.0555555555556,0.166666666667,0.166666666667,0.0,0.0,0.0,0.0666666666667,0.166666666667,0.166666666667,0.125,0.142857142857,0.142857142857,0.2,0.166666666667,0.166666666667,0.1,0.142857142857,0.142857142857,0.428571428571,0.5,0.5,0.111111111111,0.142857142857,0.142857142857,0.333333333333,0.5,0.5,0.03125,0.142857142857,0.142857142857,0.125,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857,0.142857142857,0,0,0.311525687588,0.612425236191,0,0,0.8639172879970364,0.7364146706753253,0,0,0.75898054793,0.791784112398,0,0,0.0331125827815,0.0264900662252,0.0,0.0264900662252,0.00662251655629,0.0198675496689,0.0264900662252,0.00662251655629,0.0132450331126,0.0132450331126,0.0264900662252,0.0132450331126,0.105960264901,0.0397350993377,0.00662251655629,0.0331125827815,0.0331125827815,0.0331125827815,0.00662251655629,0.00662251655629,0.0198675496689,0.00662251655629,0.0596026490066,0.0132450331126,0.0529801324503,0.0529801324503,0.258064516129,0.218543046358,0.264900662252
Form1-20073002-Item2.txt,0.41091954023,0.759464882943,0.534482758621,0.72027972028,0.55376344086,0.265432098765,0.468672566372,0.594936708861,0.524590163934,0.59375,0.8,0.179487179487,0.448275862069,0.78674351585,0.901734104046,0.207142857143,3.625,0.9375,0.332089552239,5.93333333333,0.933333333333,0.116564417178,1.1875,0.625,0.203821656051,2.13333333333,0.866666666667,0.319327731092,2.375,0.9375,0.495575221239,3.73333333333,0.933333333333,0.0882352941176,0.375,0.3125,0.223880597015,1.0,0.666666666667,0.11320754717,0.375,0.3125,0.142857142857,0.466666666667,0.4,0.107142857143,0.1875,0.1875,0.185185185185,0.333333333333,0.333333333333,0.0666666666667,0.0625,0.0625,0.0666666666667,0.0666666666667,0.0666666666667,0.44,0.6875,0.6875,0.608695652174,0.933333333333,0.733333333333,0.186813186813,1.0625,0.8125,0.325842696629,1.93333333333,0.866666666667,0.298245614035,13.6,1.0,0.455958549223,22.0,1.0,0.1875,5.4,1.0,0.344262295082,10.5,1.0,0.441860465116,7.6,1.0,0.643835616438,11.75,1.0,0.193548387097,2.4,1.0,0.285714285714,4.0,1.0,0.166666666667,1.6,0.8,0.410256410256,4.0,1.0,0.2,1.0,0.8,0.315789473684,1.5,0.75,0.0714285714286,0.2,0.2,0.153846153846,0.5,0.25,0.5625,1.8,1.0,0.692307692308,2.25,1.0,0.276315789474,4.2,1.0,0.367647058824,6.25,1.0,0.5625,0.9375,4.4,6.0,0.332008386688,0.729144650286,0.603150483831,0.871353212322,0.9953093725394867,0.9968377345127962,0.991795763585832,0.9982491247109209,0.894688886362,0.919411588532,0.932390667078,0.951773892147,0.0545977011494,0.0287356321839,0.014367816092,0.0316091954023,0.0114942528736,0.0316091954023,0.0373563218391,0.0201149425287,0.014367816092,0.0316091954023,0.0316091954023,0.0,0.066091954023,0.0114942528736,0.00574712643678,0.00574712643678,0.0603448275862,0.0603448275862,0.0287356321839,0.00287356321839,0.0258620689655,0.0201149425287,0.10632183908,0.0172413793103,0.0919540229885,0.0114942528736,0.0506329113924,0.353448275862,0.359195402299
6.txt,0.557046979866,0.742,0.463087248322,0.638554216867,0.768115942029,0.3875,0.510322580645,0.84375,0.684210526316,0.818181818182,0.75,0.25,0.615384615385,0.939189189189,0.993197278912,0.244897959184,4.0,1.0,0.333333333333,5.0,1.0,0.122448979592,1.0,0.5,0.153846153846,1.2,0.6,0.326530612245,2.66666666667,0.833333333333,0.444444444444,3.2,0.8,0.0416666666667,0.166666666667,0.166666666667,0.1,0.4,0.4,0.230769230769,0.5,0.5,0.3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.333333333333,0.333333333333,0.25,0.2,0.2,0.363636363636,0.666666666667,0.5,0.444444444444,0.8,0.4,0.09375,0.5,0.333333333333,0.185185185185,1.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666667,1.0,0,0,0.379640045147,0.632300650821,0,0,0.9316664837263025,0.951689998906738,0,0,0.813404078216,0.828473416571,0,0,0.0201342281879,0.0134228187919,0.0,0.0268456375839,0.0134228187919,0.0134228187919,0.0268456375839,0.00671140939597,0.0,0.00671140939597,0.0201342281879,0.0134228187919,0.107382550336,0.0335570469799,0.00671140939597,0.0268456375839,0.0268456375839,0.0402684563758,0.0201342281879,0.00671140939597,0.0134228187919,0.0,0.0469798657718,0.00671140939597,0.0469798657718,0.134228187919,0.625,0.194630872483,0.308724832215
3.txt,0.509090909091,0.606557377049,0.481818181818,0.678571428571,0.716981132075,0.315789473684,0.33,0.787878787879,0.454545454545,0.857142857143,0.5,0.277777777778,0.607843137255,0.834862385321,0.972222222222,0.197802197802,1.5,0.75,0.376470588235,2.90909090909,0.909090909091,0.106382978723,0.416666666667,0.333333333333,0.232558139535,0.909090909091,0.727272727273,0.295454545455,1.08333333333,0.75,0.52380952381,2.0,0.909090909091,0.0344827586207,0.0833333333333,0.0833333333333,0.142857142857,0.363636363636,0.272727272727,0.4,0.333333333333,0.25,0.555555555556,0.454545454545,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0909090909091,0.0909090909091,0.153846153846,0.166666666667,0.166666666667,0.416666666667,0.454545454545,0.454545454545,0.0714285714286,0.25,0.25,0.225,0.818181818182,0.727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333,0.333333333333,0,0,0.237045873403,0.682645148553,0,0,0.9928094439133806,0.9940453930014089,0,0,0.849560226605,0.866741467081,0,0,0.0454545454545,0.0454545454545,0.0,0.00909090909091,0.0,0.0363636363636,0.00909090909091,0.0,0.0,0.0,0.0,0.00909090909091,0.0636363636364,0.0,0.0,0.0,0.0454545454545,0.0181818181818,0.0,0.00909090909091,0.0,0.0,0.0363636363636,0.00909090909091,0.0454545454545,0.1,0.333333333333,0.245454545455,0.327272727273
Form1-20073004-Item2.txt,0.371647509579,0.680377358491,0.459770114943,0.680412371134,0.55,0.241134751773,0.435652173913,0.634146341463,0.5,0.555555555556,0.529411764706,0.130434782609,0.360465116279,0.707692307692,0.853281853282,0.311475409836,9.5,1.0,0.494382022472,14.6666666667,1.0,0.197183098592,3.5,0.75,0.313725490196,5.33333333333,1.0,0.452830188679,6.0,1.0,0.7,9.33333333333,1.0,0.115384615385,0.75,0.75,0.25,1.66666666667,1.0,0.269230769231,1.75,0.5,0.411764705882,2.33333333333,0.666666666667,0.181818181818,0.5,0.5,0.285714285714,0.666666666667,0.666666666667,0.2,0.5,0.5,0.25,0.666666666667,0.333333333333,0.454545454545,1.25,1.0,0.888888888889,2.66666666667,1.0,0.216216216216,2.0,1.0,0.448275862069,4.33333333333,1.0,0.356435643564,18.0,1.0,0.777777777778,21.0,1.0,0.206349206349,6.5,1.0,0.642857142857,9.0,1.0,0.575,11.5,1.0,0.923076923077,12.0,1.0,0.2,2.5,1.0,0.8,4.0,1.0,0.190476190476,2.0,1.0,0.5,2.0,1.0,0.2,1.0,1.0,0.666666666667,2.0,1.0,0.222222222222,1.0,0.5,0.333333333333,1.0,1.0,0.75,3.0,1.0,1.0,3.0,1.0,0.333333333333,5.5,1.0,0.875,7.0,1.0,1.0,7.25,3.5,15.0,0.427148323088,0.849362529067,0.7768748158,0.815778957572,0.9878536594346214,0.9909423017402618,0.9756426949255281,0.9964931146305643,0.91241913658,0.919923069242,0.912312499409,0.868823262408,0.0306513409962,0.0114942528736,0.0191570881226,0.0191570881226,0.00383141762452,0.0229885057471,0.0268199233716,0.0,0.0153256704981,0.0268199233716,0.0229885057471,0.00383141762452,0.0344827586207,0.00383141762452,0.0,0.00383141762452,0.0498084291188,0.0689655172414,0.0153256704981,0.00766283524904,0.0153256704981,0.0229885057471,0.0766283524904,0.0268199233716,0.0804597701149,0.0498084291188,0.317073170732,0.27969348659,0.325670498084
2.txt,0.593220338983,0.735942028986,0.559322033898,0.671428571429,0.712121212121,0.461538461538,0.46,0.65625,0.833333333333,0.75,0.625,0.3125,0.531914893617,0.897435897436,0.965517241379,0.216981132075,2.3,0.6,0.228571428571,2.66666666667,0.666666666667,0.129032258065,0.8,0.6,0.147540983607,1.0,0.666666666667,0.318181818182,1.4,0.6,0.318181818182,1.55555555556,0.666666666667,0.166666666667,0.5,0.4,0.2,0.666666666667,0.555555555556,0.0588235294118,0.1,0.1,0.0588235294118,0.111111111111,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.2,0.2,0.333333333333,0.222222222222,0.222222222222,0.5,0.6,0.5,0.5,0.666666666667,0.555555555556,0.268292682927,1.1,0.5,0.292682926829,1.33333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.335559089673,0.646075651104,0.0453787905627,0.37780884083,0.9907847890713579,0.9852205762634841,0.9999999472487513,0.999967535775355,0.731130850809,0.773769453432,0.351336484637,0.359821796319,0.0254237288136,0.0169491525424,0.0,0.0338983050847,0.00847457627119,0.0169491525424,0.0508474576271,0.00847457627119,0.0254237288136,0.0254237288136,0.0169491525424,0.00847457627119,0.0593220338983,0.0169491525424,0.00847457627119,0.00847457627119,0.0254237288136,0.0423728813559,0.0254237288136,0.00847457627119,0.0254237288136,0.00847457627119,0.0762711864407,0.00847457627119,0.0508474576271,0.101694915254,0.375,0.279661016949,0.372881355932
1.txt,0.452380952381,0.654545454545,0.428571428571,0.561403508772,0.592592592593,0.375,0.49652173913,0.769230769231,0.611111111111,0.75,0.45,0.25,0.421052631579,0.848,0.959677419355,0.20202020202,1.81818181818,0.727272727273,0.347826086957,3.2,0.8,0.186046511628,0.727272727273,0.545454545455,0.225,0.9,0.6,0.210526315789,1.09090909091,0.545454545455,0.433962264151,2.3,0.8,0.1,0.0909090909091,0.0909090909091,0.2,0.2,0.2,0.1875,0.272727272727,0.272727272727,0.25,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.363636363636,0.363636363636,0.272727272727,0.3,0.3,0.333333333333,0.545454545455,0.363636363636,0.5,0.8,0.5,0.24,0.545454545455,0.363636363636,0.391304347826,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909091,0.363636363636,0,0,0.221839314046,0.638786528796,0,0,0.9910807136694398,0.9963799052531346,0,0,0.837961013849,0.869842887146,0,0,0.0634920634921,0.047619047619,0.0,0.015873015873,0.015873015873,0.031746031746,0.0396825396825,0.0,0.00793650793651,0.0634920634921,0.0555555555556,0.0396825396825,0.0238095238095,0.0238095238095,0.0,0.0238095238095,0.0634920634921,0.0555555555556,0.015873015873,0.031746031746,0.0,0.0396825396825,0.111111111111,0.031746031746,0.119047619048,0.150793650794,1.46153846154,0.269841269841,0.404761904762
Form1-20073003-Item2.txt,0.483333333333,0.716439790576,0.495833333333,0.76724137931,0.747899159664,0.239669421488,0.407222222222,0.746478873239,0.739130434783,0.857142857143,1.0,0.428571428571,0.716049382716,0.874476987448,0.978991596639,0.294478527607,9.6,1.0,0.337931034483,12.25,1.0,0.171428571429,3.6,1.0,0.189473684211,4.5,1.0,0.491525423729,5.8,1.0,0.607843137255,7.75,1.0,0.2,2.6,1.0,0.196428571429,2.75,1.0,0.157894736842,0.6,0.4,0.210526315789,1.0,0.75,0.0526315789474,0.2,0.2,0.111111111111,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.4,0.4,0.333333333333,0.75,0.5,0.183098591549,2.6,1.0,0.193548387097,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.6,0,0,0.416368012068,0.708840266206,0,0,0.9835428850353777,0.9791103537205389,0,0,0.877265442408,0.880729268606,0,0,0.0416666666667,0.0208333333333,0.0166666666667,0.0208333333333,0.00416666666667,0.0166666666667,0.025,0.0,0.0125,0.0125,0.0125,0.00416666666667,0.116666666667,0.0208333333333,0.00416666666667,0.0166666666667,0.0541666666667,0.0625,0.0125,0.00416666666667,0.00833333333333,0.00416666666667,0.05,0.0208333333333,0.0583333333333,0.0458333333333,0.154929577465,0.2,0.241666666667
