Filename,nwords,nsentences,nparagraphs,nlemmas,nlemma_types,ncontent_words,ncontent_types,nfunction_words,n_nouns,n_noun_types,n_verbs,n_verb_types,n_adjs,n_adj_types,n_advs,n_adv_types,n_prps,n_prp_types,n_arguments,n_argument_types,n_bigram_lemmas,n_bigram_lemma_types,n_trigram_lemmas,n_trigram_lemma_types
0E26C20CFBBE.txt,524,22,5,524,128,226,82,298,86,29,77,29,35,17,31,12,64,12,138,38,523,370,522,477
EE58A33AD551.txt,476,14,6,476,151,258,108,218,111,51,85,35,21,14,42,16,55,13,161,62,475,379,474,451
966F39486EC8.txt,336,19,5,336,97,199,67,137,61,21,74,25,35,12,29,13,42,8,93,27,335,223,334,278
090CFB3688B7.txt,726,48,7,726,198,342,134,384,186,62,69,31,37,23,60,27,88,15,245,73,725,523,724,651
C0A5C05F8801.txt,434,24,5,434,143,212,94,222,77,33,84,34,21,14,33,20,78,12,137,43,433,323,432,381
F83702EEB830.txt,339,14,5,339,124,175,91,164,62,35,67,27,24,15,23,16,46,9,104,43,338,273,337,316
9F68BAB4FB63.txt,1165,61,52,1165,204,559,157,606,271,82,159,41,79,25,50,15,105,11,343,91,1164,706,1163,993
DCEE7FD21CFD.txt,464,23,5,464,111,216,75,248,82,24,76,26,25,16,36,13,84,7,164,30,463,282,462,353
BAAFCD5BD313.txt,400,8,6,400,130,178,92,222,85,48,49,26,21,11,24,12,56,8,122,54,399,329,398,379
73D5C8D99F72.txt,442,13,10,442,187,196,128,246,53,37,65,47,23,19,59,32,81,12,129,48,441,405,440,433
8D02AC12DD48.txt,350,19,9,350,114,179,71,171,96,37,53,19,13,11,18,8,45,11,126,44,349,265,348,329
26D32FF6313F.txt,322,13,3,322,124,154,88,168,59,35,62,34,13,10,20,10,43,8,102,43,321,253,320,292
3741D275F8BC.txt,519,30,6,519,158,285,113,234,134,49,90,40,28,19,34,10,38,6,151,53,518,382,517,464
E06EDBA28C44.txt,417,24,5,417,110,223,71,194,74,25,78,24,34,18,39,12,53,8,101,30,416,268,415,327
0EFF424C1440.txt,1020,51,5,1020,190,413,132,607,139,45,171,51,40,16,66,26,250,14,341,55,1019,605,1018,831
645103593F14.txt,272,15,4,272,125,135,87,137,76,49,41,26,13,9,6,5,38,11,107,59,271,240,270,260
9E3B7D421238.txt,421,22,5,421,121,214,82,207,98,34,57,21,26,14,33,17,35,8,120,41,420,293,419,354
E45E9DC77BF4.txt,195,6,1,195,93,85,53,110,32,18,26,21,11,9,18,9,23,7,51,23,194,166,193,184
33FD540FB9EA.txt,325,12,5,325,100,164,66,161,75,24,51,24,28,12,11,8,37,10,104,32,324,210,323,243
BD163D95FC57.txt,577,23,5,577,150,284,105,293,132,45,84,40,39,11,30,14,85,10,206,54,576,405,575,497
49DA281C7585.txt,248,11,7,248,95,123,68,125,56,34,47,24,12,8,15,8,43,9,91,41,247,211,246,238
9E560D6E24E5.txt,317,7,4,317,89,144,60,173,69,27,41,22,20,6,14,6,32,5,90,30,316,203,315,260
3AD64B4E25CD.txt,620,27,6,620,207,284,147,336,97,63,115,44,24,16,49,27,125,15,203,75,619,520,618,597
4F35BA561593.txt,532,23,8,532,148,265,99,267,107,46,97,34,24,13,38,15,64,14,161,58,531,404,530,482
